health_facilities,HCA,UHS,DVA,THC,EHC,ACHC,ENSG,SEM,USPH,NHC,BKD,INNV,CYH,PNTG,CANO,CMAX,IDXX,IQV,STE,LH,CRL,CTLT,MEDP,CHE,AGL,HQY,NEOG,DNA,SHC,SYNH,TDOC,PGNY,LFST,AMED,RDNT,OPK,CVS,MCK,CAH,CI,COR,WBA,HSIC,OPCH,PDCO,GDRX,PINC,NEO,AGTI,ACCD,MODV,FLGT,UNH,ELV,HUM,CNC,MOH,EHAB,CLOV,OMI
home_products,WHR,TPX,NWL,LEG,SMG,SPB,FND,CODI,MLKN,ARHS,HNI,IRBT,SCS,,HD,LOVE,HVT,CENT,BLDR,ACCO,LZB,ETD,SNBR,GRWG,RH,BBWI,WSM,TSCO,COOK,LOW,POOL,W,LESL,ODP,BBY,ETSY,,,,,,,,,,,,,,,,,,,,,,,,
homebuilders,DHI,LEN,NVR,PHM,TOL,FBIN,MHK,MTH,TMHC,SKY,KBH,MDC,TPH,LGIH,DFH,CVCO,CCS,GBRK,MBC,FOR,EQR,AUB,MAA,ESS,CPT,UDR,AIRC,CSR,VRE,INVH,AMH,MGRC,JOE,OPAD,LEGH,RKT,STWD,SUI,ELS,UMH,PFSI,WD,ALLY,UWMC,AGM,TREE,,,NLY,,,,,,,,,,,
hotels,BKNG,ABNB,MAR,LVS,HLT,MGM,RCL,EXPE,WYNN,H,CCL,MTN,CHDN,CZR,BYD,CHH,WH,IGT,NCLH,VAC,RRR,HGV,HST,TNL,LNW,TRIP,VICI,GLPI,FUN,BALY,RHP,APLE,PK,SHO,PEB,DRH,RLJ,SVC,INN,PENN,PLYA,CLDT,XHR,,,,,,,,,,,,,,,,,
infra_software,MSFT,ORCL,NOW,VMW,SNOW,PANW,FTNT,CRWD,DDOG,ZS,SPLK,GEN,BOX,NET,AKAM,MDB,DT,ZI,TWLO,DBX,NTNX,TENB,TDC,CVLT,FSLY,S,VRRM,QLYS,SWI,IONQ,HCP,VRNS,RPD,LSPD,YEXT,ZUO,AVPT,PAY,ADEA,BASE,BAND,OSPN,SCWX,,,,,,,,,,,,,,,,,
insurance,MET,PGR,ALL,AIG,PRU,TRV,HIG,LNC,AFL,PFG,MMC,UNM,CNA,L,MKL,AON,WRB,AIZ,AJG,CINF,AFG,ERIE,GL,BRO,THG,ORI,PRI,KMPR,SIGI,BHF,VRSK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leisure_equipt,HAS,MAT,PII,BC,BGFV,THO,PTON,MODG,YETI,LCII,CWH,WGO,VSTO,MBUU,MCFT,FNKO,GOLF,ONEW,BOWL,SWBI,RGR,GRMN,ASO,SPWH,HIBB,JAKK,CLAR,PLNT,DKS,LTH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
machinery,CAT,DE,PH,IR,MWA,DOV,XYL,IEX,SYM,SNA,GGG,SWK,NDSN,GTES,TTC,LECO,AGCO,RRX,DCI,MIDD,MSA,FLS,FELE,ZWS,ESAB,WHD,HI,TEX,FSS,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
media,GOOGL,VZ,CMCSA,T,DIS,CHTR,WBD,NFLX,PARA,VRSN,DISH,PINS,OMC,FOXA,IPG,NWSA,DLR,LBTYK,SIRI,EA,EQIX,WMG,FYBR,TDS,TTWO,IAC,NXST,SNAP,USM,DBRG,GTN,TGNA,SHEN,MTCH,AMCX,TTD,SPOT,LAMR,ROKU,APP,TKO,IRDM,NTES,CABO,CCOI,BMBL,ZD,OUT,YELP,SCPL,STGW,SSP,MGNI,GOGO,UPWK,SATS,SSTK,RBLX,VMEO,THRY
metals,SCCO,FCX,NEM,NC,AA,MP,HL,BTU,SSRM,ARLP,AMR,ARCH,PLL,HCC,CDE,CMP,KALU,CVEO,AMRK,SXC,RIO,CCJ,BHP,METC,HNRG,AU,LEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
midstreamers,ENB,EPD,TRP,KMI,LNG,WMB,MPLX,OKE,CQP,PBA,TRGP,OGE,WES,PAA,,HESM,NFE,AM,DTM,ENLC,GLNG,PAGP,ETRN,EE,GPP,HEP,GLP,NS,KNTK,ET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oil_servicers,SLB,BKR,HAL,NOV,CHX,NE,WFRD,VAL,RIG,HP,PTEN,TDW,LBRT,XPRO,USAC,,OII,AROC,RES,DNOW,DO,HLX,NBR,DRQ,SLCA,WTTR,RNGR,PUMP,VTOL,OIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pharma,LLY,MRK,JNJ,ABBV,PFE,ABT,BMY,AMGN,GILD,ZTS,REGN,BIIB,SGEN,ALNY,HZNP,BMRN,INCY,LEGN,VTRS,UTHR,SRPT,APLS,NBIX,GSK,KRTX,JAZZ,EXEL,IONS,OGN,ELAN,HALO,CERE,SNY,GH,PCVX,ACAD,RETA,FOLD,AMPH,INSM,VIR,RARE,MRVI,NVO,PTCT,PBH,CORT,HRMY,NVS,SUPN,RCUS,IRWD,AZN,,,,,,,
refiners,CVX,MPC,PSX,VLO,SHEL,CVE,IMO,SU,BP,OVV,DINO,CASY,GEL,MUSA,SUN,PBF,CVI,CEQP,WKC,DK,PARR,CLNE,PBR,VTNR,LYB,TTE,OEC,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renewables,ENPH,FSLR,PLUG,FLNC,SHLS,ENS,RUN,ARRY,CSIQ,AMRC,SPWR,NOVA,GPRE,BLDP,STEM,EVA,REX,CLSK,BE,TPIC,FF,BEPC,NEE,CEG,CHPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurants,DRI,MCD,SBUX,CMG,YUM,QSR,DPZ,TXRH,WING,BROS,WEN,PZZA,CBRL,SHAK,BLMN,JACK,CAKE,CNNE,DIN,SG,PLAY,BJRI,KRUS,FCPT,DENN,RRGB,LOCO,DASH,PBPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semi_mfg,AMAT,LRCX,KLAC,GFS,TER,ENTG,ALGM,MKSI,AMKR,ONTO,ACLS,FORM,COHU,UCTT,VECO,AEHR,ACMR,SKYT,RELL,TSEM,INTT,ASML,TSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
semis,AVGO,ADI,CRUS,VSH,AMD,TXN,NVDA,QCOM,COHR,OLED,LSCC,INTC,NXPI,MU,MCHP,ON,POWI,MRVL,MPWR,SWKS,MTSI,AMBA,STM,QRVO,WOLF,MXL,IPGP,SLAB,SYNA,RMBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transports,ALK,AAL,SNDR,CHRW,CSX,DAL,EXPD,FDX,UPS,JBHT,LYFT,FWRD,KEX,LSTR,MATX,NSC,R,LUV,UNP,UAL,SAIA,XPO,CP,KNX,ODFL,HUBG,RXO,SAVE,WERN,UBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
