Strategy	mult	num in portfolio	Insrument	Time	Price	Amount	Type	Source	Comment	
SR5_NQ	2	4	NQ	6/5/2024 13:25	18997.5	1	Open	User		
SR5_NQ	2	4	NQ	6/5/2024 14:47	19033.25	-1	Close	User	byTime	
SR6_NQ	2	4	NQ	6/5/2024 10:38	18921	1	Open	User		
SR6_NQ	2	4	NQ	6/5/2024 11:17	18966	-1	Close	User	TakeProfit	
SR6_NQ	2	4	NQ	6/5/2024 11:34	18971.5	1	Open	User		
SR6_NQ	2	4	NQ	6/5/2024 13:08	19020	-1	Close	User	TakeProfit	
NWC_NQ_1	2	2								
NWC_NQ_2	2	2								
NWC_NQ_3	2	2								
NWC_NQ_4	2	2	NQ	6/5/2024 10:00	18844.25	1	Open	User	Long	
NWC_NQ_4	2	2	NQ	6/5/2024 15:36	19037.5	-1	Close	User	Day's over	
NWC_NQ_5	2	2								
NWC_NQ_6	2	2								
NWC_NQ_7	2	2								
NWR_NQ_1	2	2								
NWR_NQ_2	2	2								
NWR_NQ_3	2	2								
NWR_NQ_4	2	2								
VIC_NQ_4	2	4								
VIC_NQ_01	2	2								
VIC_NQ_02	2	2	NQ	6/5/2024 11:01	18911.75	1	Open	User		
VIC_NQ_02	2	2	NQ	6/5/2024 11:15	18952	-1	Close	User		
VIC_NQ_02	2	2	NQ	6/5/2024 13:24	18985.25	1	Open	User		
VIC_NQ_02	2	2	NQ	6/5/2024 13:42	19026.5	-1	Close	User		
VIC_NQ_03	2	2	NQ	6/5/2024 11:01	18911.75	1	Open	User		
VIC_NQ_03	2	2	NQ	6/5/2024 11:18	18971	-1	Close	User		
VIC_NQ_03	2	2	NQ	6/5/2024 12:16	18971.25	1	Open	User		
VIC_NQ_03	2	2	NQ	6/5/2024 14:35	19032.75	-1	Close	User		
VIC_NQ_03	2	2	NQ	6/5/2024 14:46	19036.5	1	Open	User		
VIC_NQ_03	2	2	NQ	6/5/2024 15:01	19037.5	-1	Close	User		
VIC_NQ_04	2	4	NQ	6/5/2024 10:56	18914.5	1	Open	User		
VIC_NQ_04	2	4	NQ	6/5/2024 11:18	18969.75	-1	Close	User		
VIC_NQ_04	2	4	NQ	6/5/2024 12:51	18990.75	1	Open	User		
VIC_NQ_04	2	4	NQ	6/5/2024 15:01	19037.5	-1	Close	User		
VIC_NQ_05	2	2	NQ	6/5/2024 11:01	18911.75	1	Open	User		
VIC_NQ_05	2	2	NQ	6/5/2024 11:15	18953.5	-1	Close	User		
VIC_NQ_05	2	2	NQ	6/5/2024 12:09	18968.5	1	Open	User		
VIC_NQ_05	2	2	NQ	6/5/2024 13:05	19011	-1	Close	User		
VIC_NQ_05	2	2	NQ	6/5/2024 13:17	19015.5	1	Open	User		
VIC_NQ_05	2	2	NQ	6/5/2024 15:01	19037.5	-1	Close	User		
VIC_NQ_06	2	2	NQ	6/5/2024 11:01	18911.75	1	Open	User		
VIC_NQ_06	2	2	NQ	6/5/2024 11:18	18971	-1	Close	User		
VIC_NQ_06	2	2	NQ	6/5/2024 12:16	18971.25	1	Open	User		
VIC_NQ_06	2	2	NQ	6/5/2024 14:35	19032.75	-1	Close	User		
VIC_NQ_06	2	2	NQ	6/5/2024 14:46	19036.5	1	Open	User		
VIC_NQ_06	2	2	NQ	6/5/2024 15:01	19037.5	-1	Close	User		
VIC_NQ_07	2	2	NQ	6/5/2024 10:57	18917.25	1	Open	User		
VIC_NQ_07	2	2	NQ	6/5/2024 11:16	18960.5	-1	Close	User		
VIC_NQ_07	2	2	NQ	6/5/2024 11:31	18964.75	1	Open	User		
VIC_NQ_07	2	2	NQ	6/5/2024 13:04	19008.5	-1	Close	User		
VIC_NQ_07	2	2	NQ	6/5/2024 13:13	19016.25	1	Open	User		
VIC_NQ_07	2	2	NQ	6/5/2024 13:21	18996.5	-1	Close	User	stop	
VIC_NQ_07	2	2	NQ	6/5/2024 13:47	19012.75	1	Open	User		
VIC_NQ_07	2	2	NQ	6/5/2024 15:01	19037.5	-1	Close	User		
DD_NQ_2	2	3								
DD_NQ_3	2	3								
LEO_NQ_2	2	2	NQ	6/5/2024 10:47	18917.25	2	Open	User		
LEO_NQ_2	2	2	NQ	6/5/2024 14:42	19035.25	-1	Open	User	take long	
LEO_NQ_2	2	2	NQ	6/5/2024 15:36	19037.25	-1	Close	User		
LEO_NQ_4	2	2	NQ	6/5/2024 10:23	18850.25	2	Open	User		
